date,direction,speed
2010-04-17,158,5.0
2010-04-18,177,5.0
2010-04-19,145,10.0
2010-04-20,316,13.0
2010-04-21,184,11.0
2010-04-22,135,7.0
2010-04-23,162,6.0
2010-04-24,151,8.0
2010-04-25,213,11.0
2010-04-26,259,10.0
2010-04-27,145,9.0
2010-04-28,183,12.0
2010-04-29,233,7.0
2010-04-30,246,16.0
2010-05-01,217,7.0
2010-05-02,79,15.0
2010-05-03,224,19.0
2010-05-04,144,14.0
2010-05-05,72,8.0
2010-05-06,32,10.0
2010-05-07,150,13.0
2010-05-08,142,12.0
2010-05-09,32,12.0
2010-05-10,30,13.0
2010-05-11,32,11.0
2010-05-12,108,8.0
2010-05-13,165,5.0
2010-05-14,196,12.0
2010-05-15,293,8.0
2010-05-16,258,11.0
2010-05-17,233,8.0
2010-05-18,155,5.0
2010-05-19,208,8.0
2010-05-20,278,4.0
2010-05-21,94,7.0
2010-05-22,63,7.0
2010-05-23,127,5.0
2010-05-24,213,9.0
2010-05-25,71,16.0
2010-05-26,75,13.0
2010-05-27,193,6.0
2010-05-28,260,12.0
2010-05-29,191,15.0
2010-05-30,290,18.0
2010-05-31,262,13.0
2010-06-01,155,6.0
2010-06-02,80,7.0
2010-06-03,72,9.0
2010-06-04,111,8.0
2010-06-05,139,7.0
2010-06-06,241,8.0
2010-06-07,233,9.0
2010-06-08,163,11.0
2010-06-09,109,5.0
2010-06-10,25,17.0
2010-06-11,240,10.0
2010-06-12,198,11.0
2010-06-13,194,13.0
2010-06-14,51,14.0
2010-06-15,29,17.0
2010-06-16,31,15.0
2010-06-17,30,14.0
2010-06-18,107,10.0
2010-06-19,349,16.0
2010-06-20,227,12.0
2010-06-21,184,6.0
2010-06-22,217,7.0
2010-06-23,258,7.0
2010-06-24,277,7.0
2010-06-25,83,9.0
2010-06-26,121,9.0
2010-06-27,194,5.0
2010-06-28,234,8.0
2010-06-29,241,12.0
2010-06-30,229,10.0
2010-07-01,201,12.0
2010-07-02,210,13.0
2010-07-03,287,8.0
2010-07-04,240,15.0
2010-07-05,287,11.0
2010-07-06,259,9.0
2010-07-07,208,14.0
2010-07-08,218,8.0
2010-07-09,235,9.0
2010-07-10,204,11.0
2010-07-11,212,12.0
2010-07-12,236,7.0
2010-07-13,109,9.0
2010-07-14,172,14.0
2010-07-15,198,24.0
2010-07-16,209,23.0
2010-07-17,245,14.0
2010-07-18,217,14.0
2010-07-19,206,11.0
2010-07-20,177,11.0
2010-07-21,214,14.0
2010-07-22,207,9.0
2010-07-23,184,8.0
2010-07-24,218,8.0
2010-07-25,273,8.0
2010-07-26,317,10.0
2010-07-27,267,8.0
2010-07-28,288,11.0
2010-07-29,312,12.0
2010-07-30,270,9.0
2010-07-31,237,12.0
2010-08-01,257,8.0
2010-08-02,257,8.0
2010-08-03,252,9.0
2010-08-04,268,13.0
2010-08-05,291,13.0
2010-08-06,215,13.0
2010-08-07,239,10.0
2010-08-08,238,9.0
2010-08-09,212,12.0
2010-08-10,218,12.0
2010-08-11,273,8.0
2010-08-12,300,12.0
2010-08-13,301,13.0
2010-08-14,184,9.0
2010-08-15,142,15.0
2010-08-16,324,15.0
2010-08-17,245,13.0
2010-08-18,270,11.0
2010-08-19,209,13.0
2010-08-20,198,16.0
2010-08-21,209,18.0
2010-08-22,217,11.0
2010-08-23,218,17.0
2010-08-24,244,19.0
2010-08-25,180,11.0
2010-08-26,208,10.0
2010-08-27,85,12.0
2010-08-28,284,13.0
2010-08-29,280,16.0
2010-08-30,254,14.0
2010-08-31,132,7.0
2010-09-01,86,6.0
2010-09-02,69,9.0
2010-09-03,73,9.0
2010-09-04,103,9.0
2010-09-05,103,13.0
2010-09-06,108,19.0
2010-09-07,180,10.0
2010-09-08,273,8.0
2010-09-09,263,9.0
2010-09-10,216,14.0
2010-09-11,203,15.0
2010-09-12,300,11.0
2010-09-13,243,13.0
2010-09-14,232,20.0
2010-09-15,253,18.0
2010-09-16,274,13.0
2010-09-17,304,12.0
2010-09-18,288,9.0
2010-09-19,228,16.0
2010-09-20,237,14.0
2010-09-21,189,6.0
2010-09-22,178,11.0
2010-09-23,194,12.0
2010-09-24,323,16.0
2010-09-25,330,16.0
2010-09-26,319,19.0
2010-09-27,251,8.0
2010-09-28,104,5.0
2010-09-29,187,11.0
2010-09-30,249,9.0
2010-10-01,173,18.0
2010-10-02,176,10.0
2010-10-03,182,17.0
2010-10-04,149,7.0
2010-10-05,194,13.0
2010-10-06,203,13.0
2010-10-07,132,11.0
2010-10-08,83,12.0
2010-10-09,56,15.0
2010-10-10,48,16.0
2010-10-11,28,18.0
2010-10-12,27,14.0
2010-10-13,56,12.0
2010-10-14,218,10.0
2010-10-15,327,11.0
2010-10-16,220,15.0
2010-10-17,249,10.0
2010-10-18,248,14.0
2010-10-19,288,17.0
2010-10-20,312,15.0
2010-10-21,246,14.0
2010-10-22,238,13.0
2010-10-23,247,17.0
2010-10-24,335,13.0
2010-10-25,268,8.0
2010-10-26,200,17.0
2010-10-27,220,17.0
2010-10-28,217,19.0
2010-10-29,178,20.0
2010-10-30,183,14.0
2010-10-31,69,10.0
2010-11-01,290,11.0
2010-11-02,218,19.0
2010-11-03,232,18.0
2010-11-04,228,24.0
2010-11-05,233,17.0
2010-11-06,276,10.0
2010-11-07,122,10.0
2010-11-08,129,18.0
2010-11-09,46,21.0
2010-11-10,320,19.0
2010-11-11,208,26.0
2010-11-12,235,25.0
2010-11-13,215,13.0
2010-11-14,226,8.0
2010-11-15,169,5.0
2010-11-16,192,8.0
2010-11-17,124,18.0
2010-11-18,142,13.0
2010-11-19,188,6.0
2010-11-20,71,11.0
2010-11-21,183,16.0
2010-11-22,224,14.0
2010-11-23,329,14.0
2010-11-24,303,12.0
2010-11-25,326,14.0
2010-11-26,319,11.0
2010-11-27,220,10.0
2010-11-28,139,11.0
2010-11-29,223,15.0
2010-11-30,32,17.0
2010-12-01,19,23.0
2010-12-02,25,19.0
2010-12-03,237,13.0
2010-12-04,205,15.0
2010-12-05,264,10.0
2010-12-06,103,7.0
2010-12-07,101,10.0
2010-12-08,346,18.0
2010-12-09,291,17.0
2010-12-10,272,15.0
2010-12-11,294,14.0
2010-12-12,177,12.0
2010-12-13,174,10.0
2010-12-14,101,10.0
2010-12-15,283,14.0
2010-12-16,241,20.0
2010-12-17,287,15.0
2010-12-18,189,11.0
2010-12-19,158,15.0
2010-12-20,85,13.0
2010-12-21,44,13.0
2010-12-22,113,12.0
2010-12-23,5,22.0
2010-12-24,339,17.0
2010-12-25,316,10.0
2010-12-26,265,10.0
2010-12-27,164,15.0
2010-12-28,165,11.0
2010-12-29,163,6.0
2010-12-30,92,9.0
2010-12-31,151,5.0
2011-01-01,195,11.0
2011-01-02,259,10.0
2011-01-03,237,6.0
2011-01-04,203,11.0
2011-01-05,192,19.0
2011-01-06,229,8.0
2011-01-07,135,16.0
2011-01-08,222,22.0
2011-01-09,242,16.0
2011-01-10,179,20.0
2011-01-11,251,18.0
2011-01-12,210,20.0
2011-01-13,222,22.0
2011-01-14,221,23.0
2011-01-15,207,24.0
2011-01-16,201,25.0
2011-01-17,140,9.0
2011-01-18,209,14.0
2011-01-19,329,13.0
2011-01-20,348,12.0
2011-01-21,304,10.0
2011-01-22,173,16.0
2011-01-23,267,17.0
2011-01-24,328,15.0
2011-01-25,280,16.0
2011-01-26,58,16.0
2011-01-27,40,19.0
2011-01-28,47,18.0
2011-01-29,30,15.0
2011-01-30,35,14.0
2011-01-31,111,6.0
2011-02-01,242,14.0
2011-02-02,220,19.0
2011-02-03,234,19.0
2011-02-04,225,31.0
2011-02-05,225,31.0
2011-02-06,216,26.0
2011-02-07,224,24.0
2011-02-08,212,9.0
2011-02-09,167,14.0
2011-02-10,206,13.0
2011-02-11,214,13.0
2011-02-12,236,13.0
2011-02-13,168,22.0
2011-02-14,203,13.0
2011-02-15,149,18.0
2011-02-16,161,14.0
2011-02-17,66,11.0
2011-02-18,104,12.0
2011-02-19,162,14.0
2011-02-20,128,10.0
2011-02-21,96,12.0
2011-02-22,140,7.0
2011-02-23,195,15.0
2011-02-24,256,13.0
2011-02-25,217,15.0
2011-02-26,260,21.0
2011-02-27,180,17.0
2011-02-28,175,17.0
2011-03-01,64,15.0
2011-03-02,30,17.0
2011-03-03,172,18.0
2011-03-04,208,15.0
2011-03-05,248,16.0
2011-03-06,225,15.0
2011-03-07,80,12.0
2011-03-08,191,11.0
2011-03-09,248,20.0
2011-03-10,238,24.0
2011-03-11,226,16.0
2011-03-12,166,14.0
2011-03-13,237,10.0
2011-03-14,98,13.0
2011-03-15,70,15.0
2011-03-16,21,14.0
2011-03-17,276,11.0
2011-03-18,105,8.0
2011-03-19,94,7.0
2011-03-20,207,9.0
2011-03-21,227,5.0
2011-03-22,149,5.0
2011-03-23,79,9.0
2011-03-24,78,11.0
2011-03-25,107,5.0
2011-03-26,113,11.0
2011-03-27,70,11.0
2011-03-28,96,6.0
2011-03-29,152,11.0
2011-03-30,209,14.0
2011-03-31,224,21.0
2011-04-01,203,20.0
2011-04-02,213,15.0
2011-04-03,236,12.0
2011-04-04,236,16.0
2011-04-05,216,21.0
2011-04-06,214,15.0
2011-04-07,261,10.0
2011-04-08,276,7.0
2011-04-09,88,11.0
2011-04-10,75,11.0
2011-04-11,271,12.0
2011-04-12,307,15.0
2011-04-13,238,10.0
2011-04-14,211,8.0
2011-04-15,203,6.0
2011-04-16,244,5.0
2011-04-17,119,7.0
2011-04-18,83,12.0
2011-04-19,130,8.0
2011-04-20,79,7.0
2011-04-21,91,10.0
2011-04-22,124,9.0
2011-04-23,139,4.0
2011-04-24,102,9.0
2011-04-25,94,14.0
2011-04-26,10,16.0
2011-04-27,20,15.0
2011-04-28,138,17.0
2011-04-29,29,14.0
2011-04-30,49,18.0
2011-05-01,61,21.0
2011-05-02,59,24.0
2011-05-03,65,16.0
2011-05-04,90,12.0
2011-05-05,143,13.0
2011-05-06,151,13.0
2011-05-07,139,12.0
2011-05-08,169,14.0
2011-05-09,187,13.0
2011-05-10,214,11.0
2011-05-11,251,9.0
2011-05-12,267,14.0
2011-05-13,244,10.0
2011-05-14,289,14.0
2011-05-15,289,15.0
2011-05-16,257,16.0
2011-05-17,245,14.0
2011-05-18,239,14.0
2011-05-19,287,5.0
2011-05-20,256,10.0
2011-05-21,213,12.0
2011-05-22,234,21.0
2011-05-23,227,22.0
2011-05-24,260,17.0
2011-05-25,192,11.0
2011-05-26,236,21.0
2011-05-27,282,16.0
2011-05-28,229,17.0
2011-05-29,147,13.0
2011-05-30,199,13.0
2011-05-31,297,13.0
2011-06-01,298,9.0
2011-06-02,112,9.0
2011-06-03,47,17.0
2011-06-04,71,18.0
2011-06-05,27,17.0
2011-06-06,278,8.0
2011-06-07,211,13.0
2011-06-08,219,17.0
2011-06-09,238,11.0
2011-06-10,238,8.0
